id,name,type ,age dr,year ,genre,age rg,age ew
dr,Daniel Radcliff,1,,,,,
eq,Emma Watson,1,,,,,
rg,Rupert Grint,1,,,,,
db,December Boys,2,17,2007,,,
mbj,My Boy Jack,2,17,2007,,,
dsudb,Die schoene und das Biest,2,,2017,,29,
hp1,Harry Potter 1,2,12,2001,,13,11
hp2,Harry Potter 2,2,13,2002,,14,12
hp3,Harry Potter 3,2,15,2004,,16,14
hp4,Harry Potter 4,2,16,2005,,17,15
hp5,Harry Potter 5,2,18,2007,,19,17
hp6,Harry Potter 6,2,20,2009,,21,19
hp7,Harry Potter 7,2,21,2010,,22,20
hp8,Harry Potter 8,2,22,2011,,23,21
dsvp,Der Schneider von Panama,2,12,2001,,,
dfis,Die Frau in Schwarz ,2,23,2012,,,
kyd,Kill Your Darlings,2,24,2013,,,
ho,Horns,2,24,2013,,,
tfw,The FWord,2,24,2013,,,
dq,Dating Queen,2,26,2015,,,
tg,The Gamechangers,2,26,2015,,,
vf,Victor Frankenstein,2,26,2015,,,
sam,Swiss Army Man,2,27,2016,,,
du2,Die Unfassbaren 2,2,27,2016,,,
im,Imperium ,2,27,2016,,,
lil,Lost in London,2,28,2017,,,
ju,Jungle,2,28,2017,,,
dk,Der Kurier,2,29,2018,,,
pm,Playmobil,2,30,2019,,,
ga,Guns Akimbo,2,30,2019,,,
efp,Escape from Pretoria,2,31,2020,,,
tlc,The Lost City,2,33,2022,,,
we,Weird,2,33,2022,,,
dh,Donnerhosen,2,,2002,,14,
hbpp,Happy Birthday Peter Pan,2,,2005,,17,
ume,Unterwegs mit Evie,2,,2006,,18,
cb,Cherrybomb,2,,2009,,21,
wt,Wild Target,2,,2010,,22,
itw,Into the White ,2,,2012,,24,
llcc,Lang lebe Charlie Countryman,2,,2013,,25,
fus,Fussball,2,,2013,,25,
cbgb,CBGB,2,,2013,,25,
sc,Super Clyde,2,,2013,,25,
pp,Postman Pat The Movie,2,,2014,,26,
iod,Instruments of Darkness,2,,2014,,26,
mw,Moonwalkers,2,,2015,,27,
bs,Ballet Shoes,2,,2007,,,17
dpx,Despereaux,2,,2008,,,18
mwwm,My Week with Marilyn,2,,2011,,,21
vllm,Vielleicht lieber morgen,2,,2012,,,22
tbr,The Bling Ring,2,,2013,,,23
dide,Das ist das Ende ,2,,2013,,,23
noa,Noah,2,,2014,,,24
cod,Colonia Dignidad,2,,2015,,,25
reg,Regression,2,,2015,,,25
tc,The Circle,2,,2017,,,27
lw,Little Women,2,,2019,,,29
